"Date","HomeTeam","AwayTeam","FTR","B365H","B365D","B365A"
2013-09-25,"Parma","Atalanta","H",1.91,3.3,4.2
2013-09-25,"Sampdoria","Roma","A",3.6,3.3,2.05
2013-09-25,"Torino","Verona","D",1.91,3.4,4
2013-09-26,"Inter","Fiorentina","H",1.91,3.4,4
2013-09-28,"Genoa","Napoli","A",4.75,3.5,1.75
2013-09-28,"Milan","Sampdoria","H",1.5,4,7
2013-09-29,"Atalanta","Udinese","H",2.5,3.2,2.88
2013-09-29,"Cagliari","Inter","D",3.8,3.3,2
2013-09-29,"Catania","Chievo","H",2.05,3.3,3.6
2013-09-29,"Roma","Bologna","H",1.33,5,9
2013-09-29,"Sassuolo","Lazio","D",4.5,3.4,1.83
2013-09-29,"Torino","Juventus","A",6.5,4.1,1.5
2013-09-29,"Verona","Livorno","H",1.91,3.3,4.2
2013-09-30,"Fiorentina","Parma","D",1.57,3.8,6
2013-10-06,"Bologna","Verona","A",2.1,3.3,3.5
